encoding,cycles,instret,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000a,0x000b,0x000c,0x000d,0x000e,0x000f,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001a,0x001b,0x001c,0x001d,0x001e,0x001f,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0029,0x002a
0x00003023,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,7,0,51,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x08000033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x60001013,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x60000013,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000000,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,45,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0xffffffff,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0xaaaaaaaa,448,32,49,0,0,2,0,0,0,1,1,0,0,3,1,2,0,1,1,1,0,8,0,56,2,0,0,0,0,1,25,5,0,3,0,0,0,0,0,1,0,0
0x55555555,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,45,0,0,0,0,0,1,27,3,0,3,0,0,0,0,0,1,0,0
0x0000000b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0000100b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x0000200b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x0001000b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0002000b,449,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0003000b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0004000b,449,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0005000b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
0x0006000b,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,25,3,0,3,0,0,0,0,0,1,0,0
