encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0xa000000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xa000100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xa000602f,47,,False,,False,th.vamomaxw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa000702f,47,,False,,False,th.vamomaxd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa200000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xa200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xa200602f,47,,False,,False,th.vamomaxw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa200702f,47,,False,,False,th.vamomaxd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xa400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xa400602f,47,,False,,False,th.vamomaxw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa400702f,47,,False,,False,th.vamomaxd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xa600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xa600602f,47,,False,,False,th.vamomaxw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa600702f,47,,False,,False,th.vamomaxd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0xa800000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xa800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xa800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xaa00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
